nK,nL,nH,n1,n2,n3,n4,coefficient
-1,1,0,1,0,1,1,-4*(D - 2)*(D - 1)/(z - 4)**2
-1,1,0,1,1,0,1,-4*(D - 2)*(D - 1)/(z - 4)**2
-1,1,0,1,1,1,1,-4*(5*D**2*z - 4*D**2 - 24*D*z + 32*D + 28*z - 64)/((D - 2)*(z - 4)**2)
0,0,-1,1,1,1,1,-8*(D - 2)*(D - 1)/(z - 4)**2
0,0,0,1,0,1,1,4*(D - 2)*(D - 1)/(z - 4)**2
0,0,0,1,1,0,1,4*(D - 2)*(D - 1)/(z - 4)**2
0,0,0,1,1,1,1,8*(5*D**2 - 32*D + 52)/((D - 2)*(z - 4))
0,1,-1,0,1,1,1,4*(D - 2)*(D - 1)/(z - 4)**2
0,1,-1,1,0,1,1,4*(D - 2)*(D - 1)/(z - 4)**2
0,1,-1,1,1,0,1,4*(D - 2)*(D - 1)/(z - 4)**2
0,1,-1,1,1,1,0,4*(D - 2)*(D - 1)/(z - 4)**2
0,1,-1,1,1,1,1,16*(D**2*z - 6*D*z + 8*D + 8*z - 20)/((D - 2)*(z - 4)**2)
0,1,0,0,0,1,1,4*(D**3*z - 2*D**3 - 10*D**2*z + 30*D**2 + 40*D*z - 144*D - 56*z + 216)/(z*(D - 2)*(z - 4)**2)
0,1,0,0,1,0,1,4*(2*D**3 + 5*D**2*z - 30*D**2 - 32*D*z + 144*D + 52*z - 216)/(z*(D - 2)*(z - 4)**2)
0,1,0,0,1,1,1,32*(D - 3)*(2*D + z - 6)/((D - 2)*(z - 4)**2)
0,1,0,1,-1,1,1,-2*(D**2*z - 4*D*z + 4*D + 8*z - 24)/(z*(z - 4)**2)
0,1,0,1,0,0,1,-4*(D**2*z - 2*D*z - 4*D - 4*z + 24)/(z*(z - 4)**2)
0,1,0,1,0,1,0,4*(2*D**3 + 5*D**2*z - 30*D**2 - 32*D*z + 144*D + 52*z - 216)/(z*(D - 2)*(z - 4)**2)
0,1,0,1,0,1,1,-16*(D - 3)*(D*z - 2*D - 4*z + 14)/((D - 2)*(z - 4)**2)
0,1,0,1,1,-1,1,-2*(D**2*z - 4*D*z + 4*D + 8*z - 24)/(z*(z - 4)**2)
0,1,0,1,1,0,0,4*(D**3*z - 2*D**3 - 10*D**2*z + 30*D**2 + 40*D*z - 144*D - 56*z + 216)/(z*(D - 2)*(z - 4)**2)
0,1,0,1,1,0,1,-16*(D - 3)*(D*z - 2*D - 4*z + 14)/((D - 2)*(z - 4)**2)
0,1,0,1,1,1,0,32*(D - 3)*(2*D + z - 6)/((D - 2)*(z - 4)**2)
