basis_index,index,kind,active_denominators,U,F,delta,factorized_value
0,"(0, 0, 0, 0, 0, 1, 1)",factorized_lower,E3;E4,b1x1*b1x2,b1x1*b1x2*m2*(b1x1 + b1x2),m2*(b1x1 + b1x2),pi**D*m2**(D - 2)*gamma(1 - D/2)**2
1,"(0, 0, 0, 0, 1, 0, 1)",factorized_lower,E2;E4,b2x1*b2x2,b2x1*b2x2*m2*(b2x1 + b2x2),m2*(b2x1 + b2x2),pi**D*m2**(D - 2)*gamma(1 - D/2)**2
2,"(0, 0, 0, 0, 1, 1, 1)",genuine_two_loop_candidate,E2;E3;E4,b3x3*(b3x1 + b3x2),-b3x3*m2*(-b3x1**2 + b3x1*b3x2*z - 2*b3x1*b3x2 - b3x1*b3x3 - b3x2**2 - b3x2*b3x3),-m2*(-b3x1**2 + b3x1*b3x2*z - 2*b3x1*b3x2 - b3x1*b3x3 - b3x2**2 - b3x2*b3x3)/(b3x1 + b3x2),
3,"(0, 0, 0, 0, 2, 0, 3)",factorized_lower,E2;E4,b4x1*b4x2,b4x1*b4x2*m2*(b4x1 + b4x2),m2*(b4x1 + b4x2),pi**D*m2**(D - 5)*gamma(2 - D/2)*gamma(3 - D/2)/2
4,"(0, 0, 0, 1, 1, 1, 1)",genuine_two_loop_candidate,E1;E2;E3;E4,(b5x1 + b5x4)*(b5x2 + b5x3),-m2*(-b5x1**2*b5x2 - b5x1**2*b5x3 - b5x1*b5x2**2 + b5x1*b5x2*b5x3*z - 2*b5x1*b5x2*b5x3 + b5x1*b5x2*b5x4*z - 2*b5x1*b5x2*b5x4 - b5x1*b5x3**2 + b5x1*b5x3*b5x4*z - 2*b5x1*b5x3*b5x4 - b5x2**2*b5x4 + b5x2*b5x3*b5x4*z - 2*b5x2*b5x3*b5x4 - b5x2*b5x4**2 - b5x3**2*b5x4 - b5x3*b5x4**2),-m2*(-b5x1**2*b5x2 - b5x1**2*b5x3 - b5x1*b5x2**2 + b5x1*b5x2*b5x3*z - 2*b5x1*b5x2*b5x3 + b5x1*b5x2*b5x4*z - 2*b5x1*b5x2*b5x4 - b5x1*b5x3**2 + b5x1*b5x3*b5x4*z - 2*b5x1*b5x3*b5x4 - b5x2**2*b5x4 + b5x2*b5x3*b5x4*z - 2*b5x2*b5x3*b5x4 - b5x2*b5x4**2 - b5x3**2*b5x4 - b5x3*b5x4**2)/((b5x1 + b5x4)*(b5x2 + b5x3)),
5,"(0, 1, 0, 0, 1, 0, 1)",genuine_two_loop_candidate,L;E2;E4,b6x1*b6x2 + b6x1*b6x3 + b6x2*b6x3,-m2*(-b6x1*b6x2**2 + b6x1*b6x2*b6x3*z - 2*b6x1*b6x2*b6x3 - b6x1*b6x3**2 - b6x2**2*b6x3 - b6x2*b6x3**2),-m2*(-b6x1*b6x2**2 + b6x1*b6x2*b6x3*z - 2*b6x1*b6x2*b6x3 - b6x1*b6x3**2 - b6x2**2*b6x3 - b6x2*b6x3**2)/(b6x1*b6x2 + b6x1*b6x3 + b6x2*b6x3),
6,"(0, 1, 0, 0, 1, 0, 2)",genuine_two_loop_candidate,L;E2;E4,b7x1*b7x2 + b7x1*b7x3 + b7x2*b7x3,-m2*(-b7x1*b7x2**2 + b7x1*b7x2*b7x3*z - 2*b7x1*b7x2*b7x3 - b7x1*b7x3**2 - b7x2**2*b7x3 - b7x2*b7x3**2),-m2*(-b7x1*b7x2**2 + b7x1*b7x2*b7x3*z - 2*b7x1*b7x2*b7x3 - b7x1*b7x3**2 - b7x2**2*b7x3 - b7x2*b7x3**2)/(b7x1*b7x2 + b7x1*b7x3 + b7x2*b7x3),
7,"(0, 1, 1, 0, 0, 0, 1)",genuine_two_loop_candidate,L;H;E4,b8x1*b8x2 + b8x1*b8x3 + b8x2*b8x3,b8x3**2*m2*(b8x1 + b8x2),b8x3**2*m2*(b8x1 + b8x2)/(b8x1*b8x2 + b8x1*b8x3 + b8x2*b8x3),
8,"(0, 1, 1, 0, 1, 0, 1)",genuine_two_loop_candidate,L;H;E2;E4,b9x1*b9x2 + b9x1*b9x3 + b9x1*b9x4 + b9x2*b9x4 + b9x3*b9x4,-m2*(-b9x1*b9x3**2 + b9x1*b9x3*b9x4*z - 2*b9x1*b9x3*b9x4 - b9x1*b9x4**2 - b9x2*b9x4**2 - b9x3**2*b9x4 - b9x3*b9x4**2),-m2*(-b9x1*b9x3**2 + b9x1*b9x3*b9x4*z - 2*b9x1*b9x3*b9x4 - b9x1*b9x4**2 - b9x2*b9x4**2 - b9x3**2*b9x4 - b9x3*b9x4**2)/(b9x1*b9x2 + b9x1*b9x3 + b9x1*b9x4 + b9x2*b9x4 + b9x3*b9x4),
9,"(0, 1, 1, 1, 0, 0, 1)",genuine_two_loop_candidate,L;H;E1;E4,b10x1*b10x2 + b10x1*b10x3 + b10x1*b10x4 + b10x2*b10x3 + b10x2*b10x4,-m2*(b10x1 + b10x2)*(-b10x3**2 + b10x3*b10x4*z - 2*b10x3*b10x4 - b10x4**2),-m2*(b10x1 + b10x2)*(-b10x3**2 + b10x3*b10x4*z - 2*b10x3*b10x4 - b10x4**2)/(b10x1*b10x2 + b10x1*b10x3 + b10x1*b10x4 + b10x2*b10x3 + b10x2*b10x4),
