basis_index,index,status,method,value
0,"(0, 0, 0, 0, 0, 1, 1)",exact,factorized_tadpoles_T1xT1,pi**D*m2**(D - 2)*gamma(1 - D/2)**2
1,"(0, 0, 0, 0, 1, 0, 1)",exact,factorized_tadpoles_T1xT1,pi**D*m2**(D - 2)*gamma(1 - D/2)**2
2,"(0, 0, 0, 0, 1, 1, 1)",exact,z0_degenerate_factorization_T2xT1,pi**D*m2**(D - 3)*gamma(1 - D/2)*gamma(2 - D/2)
3,"(0, 0, 0, 0, 2, 0, 3)",exact,factorized_tadpoles_T2xT3,pi**D*m2**(D - 5)*gamma(2 - D/2)*gamma(3 - D/2)/2
4,"(0, 0, 0, 1, 1, 1, 1)",exact,z0_degenerate_factorization_T2xT2,pi**D*m2**(D - 4)*gamma(2 - D/2)**2
5,"(0, 1, 0, 0, 1, 0, 1)",exact,one_massless_two_massive_vacuum_111,pi**D*m2**(D - 3)*gamma(2 - D/2)**2*gamma(3 - D)*gamma(D/2 - 1)/(gamma(D/2)*gamma(4 - D))
6,"(0, 1, 0, 0, 1, 0, 2)",exact,one_massless_two_massive_vacuum_112,pi**D*m2**(D - 4)*gamma(2 - D/2)*gamma(3 - D/2)*gamma(4 - D)*gamma(D/2 - 1)/(gamma(D/2)*gamma(5 - D))
7,"(0, 1, 1, 0, 0, 0, 1)",exact,massless_bubble_then_on_shell_E4,pi**D*m2**(D - 3)*gamma(2 - D/2)*gamma(3 - D)*gamma(D/2 - 1)**2*gamma(2*D - 5)/(gamma(D - 2)*gamma(3*D/2 - 3))
8,"(0, 1, 1, 0, 1, 0, 1)",exact,cheng_wu_hypergeometric_to_gamma_T1,2*pi**D*m2**(D - 4)*(gamma(2 - D/2)*gamma(D - 3)*gamma(3*D/2 - 4) - gamma(4 - D)*gamma(D/2 - 1)**2*gamma(2*D - 6))*gamma(D/2)*gamma(2 - D/2)/((D - 3)*(D - 2)*gamma(D/2 - 1)*gamma(D - 2)*gamma(3*D/2 - 4))
9,"(0, 1, 1, 1, 0, 0, 1)",exact,z0_E1_equals_E4_massless_bubble_E4_squared,pi**D*m2**(D - 4)*gamma(2 - D/2)*gamma(4 - D)*gamma(D/2 - 1)**2*gamma(2*D - 6)/(gamma(D - 2)*gamma(3*D/2 - 4))
10,"(0, 1, 1, 1, 0, 1, 1)",exact,z0_reduced_T2_to_T1_and_lower,-pi**D*m2**(D - 5)*(D*gamma(3 - D/2)*gamma(4 - D)*gamma(D/2 - 2)*gamma(D/2 - 1)**2*gamma(D - 2)*gamma(2*D - 7) + 2*gamma(D/2)*gamma(2 - D/2)**2*gamma(D - 3)**2*gamma(3*D/2 - 4) - 2*gamma(D/2)*gamma(2 - D/2)*gamma(4 - D)*gamma(D/2 - 1)**2*gamma(D - 3)*gamma(2*D - 6) - 2*gamma(3 - D/2)*gamma(4 - D)*gamma(D/2 - 2)*gamma(D/2 - 1)**2*gamma(D - 2)*gamma(2*D - 7))/(2*(D - 2)*gamma(D/2 - 1)*gamma(D - 3)*gamma(D - 2)*gamma(3*D/2 - 4))
11,"(0, 1, 1, 1, 1, 0, 2)",exact,z0_reduced_T3_to_T1_and_lower,pi**D*m2**(D - 6)*(D - 4)*(2*D**2*gamma(3 - D/2)*gamma(4 - D)*gamma(D/2 - 2)*gamma(D/2 - 1)**2*gamma(D - 2)*gamma(3*D/2 - 5)*gamma(2*D - 7) + D*gamma(D/2)*gamma(2 - D/2)**2*gamma(D - 3)**2*gamma(3*D/2 - 5)*gamma(3*D/2 - 4) - D*gamma(D/2)*gamma(2 - D/2)*gamma(4 - D)*gamma(D/2 - 1)**2*gamma(D - 3)*gamma(3*D/2 - 5)*gamma(2*D - 6) - 12*D*gamma(3 - D/2)*gamma(4 - D)*gamma(D/2 - 2)*gamma(D/2 - 1)**2*gamma(D - 2)*gamma(3*D/2 - 5)*gamma(2*D - 7) + D*gamma(3 - D/2)*gamma(5 - D)*gamma(D/2 - 2)*gamma(D/2 - 1)**2*gamma(D - 2)*gamma(3*D/2 - 4)*gamma(2*D - 8) - 6*gamma(D/2)*gamma(2 - D/2)**2*gamma(D - 3)**2*gamma(3*D/2 - 5)*gamma(3*D/2 - 4) + 6*gamma(D/2)*gamma(2 - D/2)*gamma(4 - D)*gamma(D/2 - 1)**2*gamma(D - 3)*gamma(3*D/2 - 5)*gamma(2*D - 6) + 16*gamma(3 - D/2)*gamma(4 - D)*gamma(D/2 - 2)*gamma(D/2 - 1)**2*gamma(D - 2)*gamma(3*D/2 - 5)*gamma(2*D - 7) - 2*gamma(3 - D/2)*gamma(5 - D)*gamma(D/2 - 2)*gamma(D/2 - 1)**2*gamma(D - 2)*gamma(3*D/2 - 4)*gamma(2*D - 8))/(4*(D - 5)*(D - 2)*gamma(D/2 - 1)*gamma(D - 3)*gamma(D - 2)*gamma(3*D/2 - 5)*gamma(3*D/2 - 4))
