nK,nL,nH,nA,nB,coefficient
-1,1,0,2,1,4*(D - 2)**2
0,0,-1,2,2,4*(D - 2)**2
0,0,0,2,1,-4*(D - 2)**2
0,0,0,2,2,8*(D - 2)**2
0,1,-1,1,2,-4*(D - 2)**2
0,1,-1,2,1,-4*(D - 2)**2
0,1,-1,2,2,-16*(D - 2)
0,1,0,1,1,-4*(D - 2)**2
0,1,0,1,2,-8*(D - 2)**2
0,1,0,2,0,4*(D - 2)**2
0,1,0,2,2,-32*(D - 2)
1,0,-1,1,2,-4*(D - 2)**2
1,0,-1,2,2,-16*(D - 2)
1,0,0,1,1,4*(D - 2)**2
1,0,0,1,2,-8*(D - 2)**2
1,0,0,2,1,16*(D - 2)
1,0,0,2,2,-32*(D - 2)
1,1,-2,1,2,4*(D - 2)**2
1,1,-1,0,2,4*(D - 2)**2
1,1,-1,1,1,-4*(D - 2)**2
1,1,-1,1,2,8*D*(D - 4)
1,1,-1,2,1,16*(D - 2)
1,1,-1,2,2,64
1,1,0,0,2,8*(D - 2)**2
1,1,0,1,1,16*D
1,1,0,1,2,-64
1,1,0,2,0,-16*(D - 2)
1,1,0,2,1,-64
1,1,0,2,2,128
