nK,nL,nH,n1,n2,n3,n4,blocked_targets,sector,already_seeded
0,0,0,0,0,1,2,22,96,0
0,1,0,0,1,0,2,18,82,1
0,0,0,0,1,0,2,17,80,0
0,2,0,0,0,0,2,6,66,0
0,2,1,0,0,1,0,6,38,0
0,2,0,0,1,1,0,6,50,0
0,2,1,0,0,2,0,6,38,0
0,2,0,0,1,2,0,6,50,0
0,1,2,0,0,0,2,6,70,0
0,0,1,0,2,0,2,6,84,0
0,0,2,0,1,0,2,6,84,0
0,2,1,0,0,1,1,6,102,0
0,0,2,1,0,1,1,6,108,0
-1,1,0,1,2,0,2,6,90,0
-1,2,0,1,1,0,2,6,90,0
-1,0,1,1,2,0,2,6,92,0
0,0,1,1,2,-1,2,6,92,0
0,0,2,1,1,-1,2,6,92,0
-1,1,1,0,0,2,2,6,102,0
-1,2,1,0,0,1,2,6,102,0
-1,2,1,0,0,2,1,6,102,0
-1,1,0,1,0,2,2,6,106,0
-1,2,0,1,0,1,2,6,106,0
-1,2,0,1,0,2,1,6,106,0
-1,0,1,1,0,2,2,6,108,0
0,0,1,1,-1,2,2,6,108,0
0,0,2,1,-1,1,2,6,108,0
0,1,1,1,0,1,1,6,110,0
0,1,1,1,1,0,2,6,94,0
0,1,2,0,1,0,1,6,86,1
0,0,1,1,0,0,1,3,76,0
0,0,2,1,-1,0,1,3,76,0
