D,z,target_index,basis_index,coeff
13,-4,0,0,761/360
13,-4,0,1,22814/8835
13,-4,0,2,-16/5
13,-4,0,3,104/4455
13,-4,0,5,11651/3762
13,-4,0,6,-200642/291555
13,-4,0,7,10/11
13,-4,0,8,-147152/6479
13,-4,0,9,-2344/341
13,-4,0,10,-96/11
13,-4,0,11,-1664/55
13,-4,1,0,121/240
13,-4,1,1,638/855
13,-4,1,2,163/180
13,-4,1,3,31/4455
13,-4,1,4,130/99
13,-4,1,5,248/209
13,-4,1,6,193/2090
13,-4,1,8,-1108/209
13,-4,1,9,9/11
13,-4,1,10,-90/11
13,-4,1,11,-496/55
13,-4,2,2,1
13,-4,2,4,-4
13,-4,3,0,-11/40
13,-4,3,1,-11/40
13,-4,3,2,11/5
13,-4,4,0,-11/144
13,-4,4,1,-11/144
13,-4,4,2,1/3
13,-4,4,4,10/9
13,-4,5,0,-1/40
13,-4,5,2,6/5
13,-4,5,5,-21/22
13,-4,5,6,2/55
13,-4,6,0,-11/40
13,-4,6,2,11/5
13,-4,6,5,1/2
13,-4,6,6,2/5
13,-4,7,0,-121/720
13,-4,7,2,121/180
13,-4,7,4,10/9
13,-4,7,5,-31/36
13,-4,7,6,1/90
13,-4,8,0,-3/5
13,-4,8,7,-21/11
13,-4,9,1,-11/62
13,-4,9,6,-4/341
13,-4,9,8,-840/341
13,-4,10,0,-11/144
13,-4,10,1,-11/144
13,-4,10,2,-59/180
13,-4,10,6,9/110
13,-4,10,8,-20/11
13,-4,11,0,3487/1800
13,-4,11,1,8591/8835
13,-4,11,2,33/5
13,-4,11,3,4/405
13,-4,11,5,6851/1710
13,-4,11,6,38966/26505
13,-4,11,7,31/10
13,-4,11,8,-2836/589
13,-4,11,9,212/31
13,-4,11,10,-264/5
13,-4,11,11,-64/5
13,-4,12,7,1
13,-4,12,9,-160/31
13,-4,13,0,-121/720
13,-4,13,1,-1331/4560
13,-4,13,2,11/20
13,-4,13,3,-1/405
13,-4,13,5,-155/684
13,-4,13,6,221/1710
13,-4,13,8,48/19
13,-4,13,9,1
13,-4,13,10,-2
13,-4,13,11,16/5
13,-4,14,0,-2299/28800
13,-4,14,1,-1331/9120
13,-4,14,2,-11/60
13,-4,14,3,-1/810
13,-4,14,4,-11/36
13,-4,14,5,-279/3040
13,-4,14,6,9/760
13,-4,14,8,29/38
13,-4,14,10,9/10
13,-4,14,11,8/5
13,-4,15,0,11/180
13,-4,15,1,-77/360
13,-4,15,2,-13/60
13,-4,15,4,10/9
13,-4,16,2,1
13,-4,17,4,1
13,-4,18,0,-11/20
13,-4,19,1,-11/20
13,-4,20,0,-11/144
13,-4,20,1,-11/144
13,-4,20,2,-5/18
13,-4,21,2,-11/20
13,-4,22,2,-11/72
13,-4,22,4,-5/18
13,-4,23,0,-1/20
13,-4,23,2,-2
13,-4,23,5,-21/11
13,-4,23,6,-8/11
13,-4,24,0,-11/20
13,-4,25,5,1
13,-4,27,2,-11/20
13,-4,27,6,-1/10
13,-4,28,0,121/2880
13,-4,28,2,-11/36
13,-4,28,4,-5/18
13,-4,28,5,31/144
13,-4,28,6,-1/36
13,-4,29,1,-11/62
13,-4,29,5,10/11
13,-4,29,6,-128/341
13,-4,29,7,-10/11
13,-4,29,8,2880/341
13,-4,30,0,649/3600
13,-4,30,1,11/72
13,-4,30,2,5/9
13,-4,30,5,31/22
13,-4,30,6,-2/11
13,-4,30,7,-279/440
13,-4,30,8,67/11
13,-4,31,7,1
13,-4,33,0,121/400
13,-4,33,7,31/40
13,-4,34,1,-121/620
13,-4,34,5,1
13,-4,34,6,12/31
13,-4,34,8,40/31
13,-4,35,8,1
13,-4,37,0,121/2880
13,-4,37,1,121/5472
13,-4,37,2,11/72
13,-4,37,5,31/304
13,-4,37,6,-1/76
13,-4,37,8,29/38
13,-4,38,0,-2299/3600
13,-4,38,1,-1331/2280
13,-4,38,3,-2/405
13,-4,38,5,-155/342
13,-4,38,6,10/171
13,-4,38,7,-31/40
13,-4,38,8,77/19
13,-4,38,9,1
13,-4,38,10,56/5
13,-4,38,11,32/5
13,-4,39,9,1
13,-3,0,0,2923/1440
13,-3,0,1,1932007/848160
13,-3,0,2,-127/40
13,-3,0,3,197/8910
