probe,target_index,basis_index,coefficient
1,0,0,-1817/280
1,0,1,-66215/8928
1,0,2,-30/7
1,0,3,48400/357
1,0,5,-130147/12240
1,0,6,-1148869/55335
1,0,7,7/17
1,0,8,-287137/105400
1,0,9,-9111/2635
1,0,10,8391/2975
1,0,11,26136/2975
1,1,0,-15181/1512
1,1,1,11135/864
1,1,2,-1861/189
1,1,3,-82000/357
1,1,4,-259/51
1,1,5,-38533/2448
1,1,6,-8971/357
1,1,8,-2033/680
1,1,9,-3/17
1,1,10,489/595
1,1,11,-8856/595
1,2,2,1
1,2,4,-9/5
1,3,0,-17/28
1,3,1,-17/28
1,3,2,153/70
1,4,0,85/108
1,4,1,85/108
1,4,2,-83/54
1,4,4,-7/3
1,5,0,-5/14
1,5,2,16/7
1,5,5,-12/17
1,5,6,180/119
1,6,0,-17/28
1,6,2,153/70
1,6,5,1/2
1,6,6,18/7
1,7,0,-1445/84
1,7,2,-289/42
1,7,4,-7/3
1,7,5,-155/6
1,7,6,-290/7
1,8,0,-27/14
1,8,7,-24/17
1,9,1,-17/62
1,9,6,348/527
1,9,8,-672/527
1,10,0,85/108
1,10,1,85/108
1,10,2,110/189
1,10,6,-30/119
1,10,8,-14/17
1,11,0,-6681/980
1,11,1,-459799/31248
1,11,2,-51/35
1,11,3,800/3
1,11,5,-45043/2520
1,11,6,-94166/3255
1,11,7,31/7
1,11,8,-3679/3100
1,11,9,-438/155
1,11,10,114/175
1,11,11,432/25
1,12,7,1
1,12,9,-252/155
1,13,0,289/168
1,13,1,1445/864
1,13,2,17/14
1,13,3,-2000/63
1,13,5,1147/432
1,13,6,349/63
1,13,8,29/40
1,13,9,1
1,13,10,-37/35
1,13,11,-72/35
1,14,0,53465/10584
1,14,1,-7225/864
1,14,2,85/14
1,14,3,10000/63
1,14,4,85/27
1,14,5,7285/1008
1,14,6,235/21
1,14,8,11/8
1,14,10,-3/7
1,14,11,72/7
1,15,0,-425/189
1,15,1,1445/378
1,15,2,-520/189
1,15,4,-7/3
1,16,2,1
1,17,4,1
1,18,0,-17/14
1,19,1,-17/14
1,20,0,85/108
1,20,1,85/108
1,20,2,35/27
1,21,2,-17/14
1,22,2,85/54
1,22,4,35/27
1,23,0,-5/7
1,23,2,1/5
1,23,5,-24/17
1,23,6,-36/17
1,24,0,-17/14
1,25,5,1
1,27,2,-17/14
1,27,6,-10/7
1,28,0,7225/756
1,28,2,85/27
1,28,4,35/27
1,28,5,775/54
