nK,nL,nH,n1,n2,n3,n4,coefficient
-1,1,0,1,0,1,1,4*(D - 2)*(D - 1)/(z - 4)**2
-1,1,0,1,1,0,1,4*(D - 2)*(D - 1)/(z - 4)**2
-1,1,0,1,1,1,1,4*(2*D**3*z - 15*D**2*z + 4*D**2 + 40*D*z - 32*D - 36*z + 64)/((D - 2)*(z - 4)**2)
0,0,-1,1,1,1,1,8*(D - 2)*(D - 1)/(z - 4)**2
0,0,0,1,0,1,1,-4*(D - 2)*(D - 1)/(z - 4)**2
0,0,0,1,1,0,1,-4*(D - 2)*(D - 1)/(z - 4)**2
0,0,0,1,1,1,1,-8*(D**3 - 10*D**2 + 40*D - 56)/((D - 2)*(z - 4))
0,1,-1,0,1,1,1,-4*(D - 2)*(D - 1)/(z - 4)**2
0,1,-1,1,0,1,1,-4*(D - 2)*(D - 1)/(z - 4)**2
0,1,-1,1,1,0,1,-4*(D - 2)*(D - 1)/(z - 4)**2
0,1,-1,1,1,1,0,-4*(D - 2)*(D - 1)/(z - 4)**2
0,1,-1,1,1,1,1,-16*(D**3*z - 8*D**2*z + 4*D**2 + 20*D*z - 20*D - 16*z + 28)/((D - 2)*(z - 4)**2)
0,1,0,0,0,1,1,-4*(2*D**3 + 5*D**2*z - 30*D**2 - 32*D*z + 144*D + 52*z - 216)/(z*(D - 2)*(z - 4)**2)
0,1,0,0,1,0,1,-4*(D**3*z - 2*D**3 - 10*D**2*z + 30*D**2 + 40*D*z - 144*D - 56*z + 216)/(z*(D - 2)*(z - 4)**2)
0,1,0,0,1,1,1,-4*(D**3*z + 4*D**3 - 5*D**2*z - 36*D**2 + 128*D + 20*z - 160)/((D - 2)*(z - 4)**2)
0,1,0,1,-1,1,1,2*(D**2*z - 2*D*z - 4*D - 4*z + 24)/(z*(z - 4)**2)
0,1,0,1,0,0,1,4*(D**2*z - 4*D*z + 4*D + 8*z - 24)/(z*(z - 4)**2)
0,1,0,1,0,1,0,-4*(D**3*z - 2*D**3 - 10*D**2*z + 30*D**2 + 40*D*z - 144*D - 56*z + 216)/(z*(D - 2)*(z - 4)**2)
0,1,0,1,0,1,1,4*(2*D**3*z - 17*D**2*z + 12*D**2 + 52*D*z - 88*D - 60*z + 168)/((D - 2)*(z - 4)**2)
0,1,0,1,1,-1,1,2*(D**2*z - 2*D*z - 4*D - 4*z + 24)/(z*(z - 4)**2)
0,1,0,1,1,0,0,-4*(2*D**3 + 5*D**2*z - 30*D**2 - 32*D*z + 144*D + 52*z - 216)/(z*(D - 2)*(z - 4)**2)
