nK,nL,nH,n1,n2,n3,n4,coefficient
-1,1,-1,1,1,1,1,4*(D - 4)*(2*D**2 + 5*D*z - 26*D - 14*z + 60)/(z*(D - 2)*(z - 4)**2)
-1,1,0,1,0,1,1,-2*(D - 4)*(D*z - 2*z + 4)/(z*(z - 4)**2)
-1,1,0,1,1,0,1,-4*(D - 4)*(2*D**2 + 5*D*z - 26*D - 14*z + 60)/(z*(D - 2)*(z - 4)**2)
-1,1,0,1,1,1,1,-4*(5*D**2*z**2 - 20*D**2*z + 16*D**2 - 34*D*z**2 + 152*D*z - 128*D + 56*z**2 - 272*z + 240)/(z*(D - 2)*(z - 4)**2)
0,0,-1,1,1,1,1,-8*(D - 4)*(D**2*z - 2*D**2 - 8*D*z + 26*D + 16*z - 60)/(z*(D - 2)*(z - 4)**2)
0,0,0,1,0,1,1,2*(D - 4)*(3*D**2*z - 4*D**2 - 18*D*z + 48*D + 32*z - 112)/(z*(D - 2)*(z - 4)**2)
0,0,0,1,1,0,1,2*(D - 4)*(3*D**2*z - 4*D**2 - 18*D*z + 48*D + 32*z - 112)/(z*(D - 2)*(z - 4)**2)
0,0,0,1,1,1,1,8*(3*D**2*z**2 - 4*D**2*z - 16*D**2 - 16*D*z**2 + 16*D*z + 128*D + 20*z**2 - 8*z - 240)/(z*(D - 2)*(z - 4)**2)
0,1,-2,1,1,1,1,-8*(2*D**3 + 3*D**2*z - 34*D**2 - 27*D*z + 164*D + 54*z - 252)/(z*(D - 2)*(z - 4)**2)
0,1,-1,0,1,1,1,4*(D - 10)*(D - 4)*(D - 3)/(z*(D - 2)*(z - 4))
0,1,-1,1,0,1,1,2*(D**3*z + 4*D**3 - 72*D**2 - 50*D*z + 368*D + 124*z - 600)/(z*(D - 2)*(z - 4)**2)
0,1,-1,1,1,0,1,4*(4*D**3 + 5*D**2*z - 72*D**2 - 55*D*z + 360*D + 122*z - 580)/(z*(D - 2)*(z - 4)**2)
0,1,-1,1,1,1,0,4*(D - 10)*(D - 4)*(D - 3)/(z*(D - 2)*(z - 4))
0,1,-1,1,1,1,1,8*(3*D**2*z - 4*D**2 - 31*D*z + 32*D + 66*z - 72)/(z*(D - 2)*(z - 4))
0,1,0,0,0,1,1,2*(D - 4)*(D*z - 2*z + 4)/(z*(z - 4)**2)
0,1,0,0,1,0,1,-2*(D - 4)*(D**2*z - 8*D**2 - 22*D*z + 100*D + 56*z - 232)/(z*(D - 2)*(z - 4)**2)
0,1,0,0,1,1,1,16*(D - 3)*(D*z**2 - 4*D*z + 8*D - 4*z**2 + 24*z - 40)/(z*(D - 2)*(z - 4)**2)
0,1,0,1,-1,1,1,-2*(D - 4)*(D*z - 2*z + 4)/(z*(z - 4)**2)
0,1,0,1,0,0,1,-4*(2*D**3 + 4*D**2*z - 38*D**2 - 35*D*z + 196*D + 70*z - 316)/(z*(D - 2)*(z - 4)**2)
0,1,0,1,0,1,0,-4*(D - 4)*(D**2*z - 2*D**2 - 7*D*z + 22*D + 14*z - 52)/(z*(D - 2)*(z - 4)**2)
0,1,0,1,0,1,1,-4*(4*D**2*z**2 - 14*D**2*z + 8*D**2 - 29*D*z**2 + 116*D*z - 64*D + 50*z**2 - 212*z + 96)/(z*(D - 2)*(z - 4)**2)
0,1,0,1,1,-1,1,4*(D**2*z + 4*D**2 + D*z - 32*D - 14*z + 76)/(z*(D - 2)*(z - 4)**2)
0,1,0,1,1,0,0,-4*(D - 4)*(D**2*z - 2*D**2 - 8*D*z + 26*D + 16*z - 60)/(z*(D - 2)*(z - 4)**2)
0,1,0,1,1,0,1,4*(D**2*z**2 + 2*D**2*z - 8*D**2 + 9*D*z**2 - 68*D*z + 64*D - 38*z**2 + 212*z - 192)/(z*(D - 2)*(z - 4)**2)
0,1,0,1,1,1,0,-32*(D - 3)*(2*D*z - 4*D + z**2 - 10*z + 20)/(z*(D - 2)*(z - 4)**2)
0,1,0,1,1,1,1,32*(D - 3)*(z - 3)/((D - 2)*(z - 4))
1,-1,-1,1,1,1,1,4*(D - 4)*(2*D**2 + 5*D*z - 26*D - 14*z + 60)/(z*(D - 2)*(z - 4)**2)
1,-1,0,1,0,1,1,-4*(D - 4)*(2*D**2 + 5*D*z - 26*D - 14*z + 60)/(z*(D - 2)*(z - 4)**2)
1,-1,0,1,1,0,1,-2*(D - 4)*(D*z - 2*z + 4)/(z*(z - 4)**2)
1,-1,0,1,1,1,1,-4*(5*D**2*z**2 - 20*D**2*z + 16*D**2 - 34*D*z**2 + 152*D*z - 128*D + 56*z**2 - 272*z + 240)/(z*(D - 2)*(z - 4)**2)
1,0,-2,1,1,1,1,-8*(2*D**3 + 3*D**2*z - 34*D**2 - 27*D*z + 164*D + 54*z - 252)/(z*(D - 2)*(z - 4)**2)
1,0,-1,0,1,1,1,4*(D - 10)*(D - 4)*(D - 3)/(z*(D - 2)*(z - 4))
1,0,-1,1,0,1,1,4*(4*D**3 + 5*D**2*z - 72*D**2 - 55*D*z + 360*D + 122*z - 580)/(z*(D - 2)*(z - 4)**2)
1,0,-1,1,1,0,1,2*(D**3*z + 4*D**3 - 72*D**2 - 50*D*z + 368*D + 124*z - 600)/(z*(D - 2)*(z - 4)**2)
1,0,-1,1,1,1,0,4*(D - 10)*(D - 4)*(D - 3)/(z*(D - 2)*(z - 4))
1,0,-1,1,1,1,1,8*(3*D**2*z - 4*D**2 - 31*D*z + 32*D + 66*z - 72)/(z*(D - 2)*(z - 4))
1,0,0,0,0,1,1,-4*(D - 4)*(D**2*z - 2*D**2 - 8*D*z + 26*D + 16*z - 60)/(z*(D - 2)*(z - 4)**2)
1,0,0,0,1,0,1,-4*(D - 4)*(D**2*z - 2*D**2 - 7*D*z + 22*D + 14*z - 52)/(z*(D - 2)*(z - 4)**2)
1,0,0,0,1,1,1,-32*(D - 3)*(2*D*z - 4*D + z**2 - 10*z + 20)/(z*(D - 2)*(z - 4)**2)
1,0,0,1,-1,1,1,4*(D**2*z + 4*D**2 + D*z - 32*D - 14*z + 76)/(z*(D - 2)*(z - 4)**2)
1,0,0,1,0,0,1,-4*(2*D**3 + 4*D**2*z - 38*D**2 - 35*D*z + 196*D + 70*z - 316)/(z*(D - 2)*(z - 4)**2)
1,0,0,1,0,1,0,-2*(D - 4)*(D**2*z - 8*D**2 - 22*D*z + 100*D + 56*z - 232)/(z*(D - 2)*(z - 4)**2)
1,0,0,1,0,1,1,4*(D**2*z**2 + 2*D**2*z - 8*D**2 + 9*D*z**2 - 68*D*z + 64*D - 38*z**2 + 212*z - 192)/(z*(D - 2)*(z - 4)**2)
1,0,0,1,1,-1,1,-2*(D - 4)*(D*z - 2*z + 4)/(z*(z - 4)**2)
1,0,0,1,1,0,0,2*(D - 4)*(D*z - 2*z + 4)/(z*(z - 4)**2)
1,0,0,1,1,0,1,-4*(4*D**2*z**2 - 14*D**2*z + 8*D**2 - 29*D*z**2 + 116*D*z - 64*D + 50*z**2 - 212*z + 96)/(z*(D - 2)*(z - 4)**2)
1,0,0,1,1,1,0,16*(D - 3)*(D*z**2 - 4*D*z + 8*D - 4*z**2 + 24*z - 40)/(z*(D - 2)*(z - 4)**2)
1,0,0,1,1,1,1,32*(D - 3)*(z - 3)/((D - 2)*(z - 4))
1,1,-3,1,1,1,1,4*(2*D**3 + 5*D**2*z - 34*D**2 - 32*D*z + 164*D + 60*z - 264)/(z*(D - 2)*(z - 4)**2)
1,1,-2,0,1,1,1,-4*(D**3*z - 4*D**3 - 17*D**2*z + 68*D**2 + 80*D*z - 328*D - 124*z + 504)/(z*(D - 2)*(z - 4)**2)
1,1,-2,1,0,1,1,-4*(2*D**3 + 8*D**2*z - 38*D**2 - 45*D*z + 196*D + 82*z - 340)/(z*(D - 2)*(z - 4)**2)
1,1,-2,1,1,0,1,-4*(2*D**3 + 8*D**2*z - 38*D**2 - 45*D*z + 196*D + 82*z - 340)/(z*(D - 2)*(z - 4)**2)
