target,candidate_count,pivoting_candidates,max_new_pivots
"(0, 0, -1, 1, 1, 1, 1)",7,,8
"(0, 0, 0, 1, 0, 1, 1)",7,,8
"(0, 0, 0, 1, 1, 0, 1)",7,,8
"(0, 0, 0, 1, 1, 1, 1)",6,,8
"(0, 1, 0, 1, 0, 1, 0)",7,,8
"(0, 1, 0, 1, 0, 1, 1)",4,,8
"(1, 0, 0, 0, 1, 0, 1)",7,,8
"(1, 0, 0, 1, 1, 0, 1)",4,,8
"(1, 1, -1, 0, 1, 1, 0)",7,,8
"(1, 1, -1, 0, 1, 1, 1)",5,,8
"(1, 1, -1, 1, 1, 1, 0)",5,,8
"(1, 1, -1, 1, 1, 1, 1)",6,,8
"(1, 1, 0, -1, 1, 1, 1)",6,,8
"(1, 1, 0, 0, 0, 1, 0)",7,,8
"(1, 1, 0, 0, 1, 0, 0)",7,,8
"(1, 1, 0, 0, 1, 0, 1)",4,,8
"(1, 1, 0, 0, 1, 1, 0)",6,,8
"(1, 1, 0, 1, 0, 1, 0)",4,,8
"(1, 1, 0, 1, 1, -1, 0)",7,,8
"(1, 1, 0, 1, 1, 1, -1)",6,,8
