basis_index,index,status,method,value
0,"(0, 0, 0, 0, 0, 1, 1)",exact,factorized_tadpoles_T1xT1,pi**D*m2**(D - 2)*gamma(1 - D/2)**2
1,"(0, 0, 0, 0, 1, 0, 1)",exact,factorized_tadpoles_T1xT1,pi**D*m2**(D - 2)*gamma(1 - D/2)**2
2,"(0, 0, 0, 0, 1, 1, 1)",exact,z0_degenerate_factorization_T2xT1,pi**D*m2**(D - 3)*gamma(1 - D/2)*gamma(2 - D/2)
3,"(0, 0, 0, 0, 2, 0, 3)",exact,factorized_tadpoles_T2xT3,pi**D*m2**(D - 5)*gamma(2 - D/2)*gamma(3 - D/2)/2
4,"(0, 0, 0, 1, 1, 1, 1)",exact,z0_degenerate_factorization_T2xT2,pi**D*m2**(D - 4)*gamma(2 - D/2)**2
5,"(0, 1, 0, 0, 1, 0, 1)",exact,one_massless_two_massive_vacuum_111,pi**D*m2**(D - 3)*gamma(2 - D/2)**2*gamma(3 - D)*gamma(D/2 - 1)/(gamma(D/2)*gamma(4 - D))
6,"(0, 1, 0, 0, 1, 0, 2)",exact,one_massless_two_massive_vacuum_112,pi**D*m2**(D - 4)*gamma(2 - D/2)*gamma(3 - D/2)*gamma(4 - D)*gamma(D/2 - 1)/(gamma(D/2)*gamma(5 - D))
7,"(0, 1, 1, 0, 0, 0, 1)",exact,massless_bubble_then_on_shell_E4,pi**D*m2**(D - 3)*gamma(2 - D/2)*gamma(3 - D)*gamma(D/2 - 1)**2*gamma(2*D - 5)/(gamma(D - 2)*gamma(3*D/2 - 3))
8,"(0, 1, 1, 0, 1, 0, 1)",unresolved,genuine_two_loop_z0_master,
9,"(0, 1, 1, 1, 0, 0, 1)",exact,z0_E1_equals_E4_massless_bubble_E4_squared,pi**D*m2**(D - 4)*gamma(2 - D/2)*gamma(4 - D)*gamma(D/2 - 1)**2*gamma(2*D - 6)/(gamma(D - 2)*gamma(3*D/2 - 4))
10,"(0, 1, 1, 1, 0, 1, 1)",unresolved,genuine_two_loop_z0_master,
11,"(0, 1, 1, 1, 1, 0, 2)",unresolved,genuine_two_loop_z0_master,
