target_index,target,basis_index,basis,coefficient,nonzero,grid_validation_points,independent_probe_points,validation
0,"(-2, 1, 1, 1, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-(D**2*z - 24*D**2 - 4*D*z + 128*D + 4*z - 168)/(16*(D - 4)*(D - 3)),1,91,3,exact
0,"(-2, 1, 1, 1, 0, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",-(D - 2)*(15*D**3*z**2 - 248*D**3*z + 320*D**3 - 124*D**2*z**2 + 2192*D**2*z - 2752*D**2 + 332*D*z**2 - 6376*D*z + 7760*D - 288*z**2 + 6112*z - 7168)/(16*(D - 4)*(D - 3)*(2*D - 7)*(3*D - 8)*(z - 4)),1,91,3,exact
0,"(-2, 1, 1, 1, 0, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",(-12*D + z + 32)/(4*(D - 3)),1,91,3,exact
0,"(-2, 1, 1, 1, 0, 1, 1)",3,"(0, 0, 0, 0, 2, 0, 3)",-(D*z - 16*D - 2*z + 44)/((D - 4)**2*(D - 3)*(D - 2)),1,91,3,exact
0,"(-2, 1, 1, 1, 0, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",(3*D**3*z**2 - 8*D**3*z - 448*D**3 - 26*D**2*z**2 + 96*D**2*z + 4064*D**2 + 72*D*z**2 - 348*D*z - 12192*D - 64*z**2 + 400*z + 12096)/(8*(D - 4)*(D - 2)*(2*D - 7)*(z - 4)),1,91,3,exact
0,"(-2, 1, 1, 1, 0, 1, 1)",6,"(0, 1, 0, 0, 1, 0, 2)",(3*D**4*z**3 - 10*D**4*z**2 - 528*D**4*z - 512*D**4 - 35*D**3*z**3 + 170*D**3*z**2 + 6368*D**3*z + 6016*D**3 + 150*D**2*z**3 - 1002*D**2*z**2 - 28528*D**2*z - 26624*D**2 - 280*D*z**3 + 2504*D*z**2 + 56240*D*z + 52704*D + 192*z**3 - 2272*z**2 - 41152*z - 39424)/(4*(D - 4)*(D - 3)*(D - 2)*(2*D - 7)*(3*D - 8)*(z - 4)),1,91,3,exact
0,"(-2, 1, 1, 1, 0, 1, 1)",7,"(0, 1, 1, 0, 0, 0, 1)",(D - 3)/(D - 2),1,91,3,exact
0,"(-2, 1, 1, 1, 0, 1, 1)",8,"(0, 1, 1, 0, 1, 0, 1)",-(9*D**3*z**2 - 168*D**3*z + 320*D**3 - 72*D**2*z**2 + 1456*D**2*z - 2816*D**2 + 188*D*z**2 - 4176*D*z + 8176*D - 160*z**2 + 3968*z - 7840)/(8*(D - 2)*(2*D - 7)*(3*D - 8)),1,91,3,exact
0,"(-2, 1, 1, 1, 0, 1, 1)",9,"(0, 1, 1, 1, 0, 0, 1)",(D**2*z - 40*D**2 - 4*D*z + 220*D + 4*z - 304)/(2*(D - 2)*(3*D - 8)),1,91,3,exact
0,"(-2, 1, 1, 1, 0, 1, 1)",10,"(0, 1, 1, 1, 0, 1, 1)",-(D**2*z**2 - 24*D**2*z - 64*D**2 - 6*D*z**2 + 168*D*z + 384*D + 8*z**2 - 288*z - 560)/(4*(D - 3)*(D - 2)),1,91,3,exact
0,"(-2, 1, 1, 1, 0, 1, 1)",11,"(0, 1, 1, 1, 1, 0, 2)",z*(z - 4)*(D*z - 16*D - 2*z + 44)/(2*(D - 3)*(D - 2)),1,91,3,exact
1,"(-2, 1, 1, 1, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)*(D*z**2 - 12*D*z + 48*D - 2*z**2 + 44*z - 192)/(8*z*(D - 4)*(D - 3)*(z - 4)),1,91,3,exact
1,"(-2, 1, 1, 1, 1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",(D - 2)*(5*D**2*z**2 - 40*D**2*z + 64*D**2 - 28*D*z**2 + 256*D*z - 416*D + 36*z**2 - 404*z + 672)/(8*z*(D - 4)*(D - 3)*(2*D - 7)*(z - 4)),1,91,3,exact
1,"(-2, 1, 1, 1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",(2*D**2*z - 4*D**2 - 11*D*z + 20*D + 18*z - 36)/(2*(D - 4)*(D - 3)*(z - 4)),1,91,3,exact
1,"(-2, 1, 1, 1, 1, 1, 1)",3,"(0, 0, 0, 0, 2, 0, 3)",2*(D*z - 8*D - 2*z + 24)/(z*(D - 4)**2*(D - 3)*(D - 2)),1,91,3,exact
