nK,nL,nH,n1,n2,n3,n4,status,residual_count,message
-2,1,1,1,0,1,1,residual,32,A non-candidate residue is present at the first exact probe; reconstruction skipped.
-2,1,1,1,1,1,1,residual,30,A non-candidate residue is present at the first exact probe; reconstruction skipped.
-1,0,0,1,1,1,1,reconstructed,0,
-1,0,1,1,0,1,1,residual,2,A non-candidate residue is present at the first exact probe; reconstruction skipped.
-1,0,1,1,1,1,1,residual,2,A non-candidate residue is present at the first exact probe; reconstruction skipped.
-1,1,0,0,1,1,1,residual,2,A non-candidate residue is present at the first exact probe; reconstruction skipped.
-1,1,0,1,0,1,1,residual,2,A non-candidate residue is present at the first exact probe; reconstruction skipped.
-1,1,0,1,1,1,1,residual,2,A non-candidate residue is present at the first exact probe; reconstruction skipped.
-1,1,1,0,0,1,1,residual,1,A non-candidate residue is present at the first exact probe; reconstruction skipped.
-1,1,1,0,1,0,1,residual,1,A non-candidate residue is present at the first exact probe; reconstruction skipped.
-1,1,1,0,1,1,1,residual,2,A non-candidate residue is present at the first exact probe; reconstruction skipped.
-1,1,1,1,-1,1,1,residual,32,A non-candidate residue is present at the first exact probe; reconstruction skipped.
-1,1,1,1,0,0,1,residual,2,A non-candidate residue is present at the first exact probe; reconstruction skipped.
-1,1,1,1,0,1,1,residual,30,A non-candidate residue is present at the first exact probe; reconstruction skipped.
-1,1,1,1,1,1,1,residual,30,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,-1,1,1,1,1,1,residual,2,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,0,0,0,1,1,1,master,0,Candidate-basis element.
0,0,0,1,1,1,1,master,0,Candidate-basis element.
0,0,1,0,0,1,1,residual,1,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,0,1,0,1,0,1,residual,1,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,0,1,0,1,1,1,residual,2,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,0,1,1,0,1,1,reconstructed,0,
0,0,1,1,1,1,1,reconstructed,0,
0,1,0,-1,1,1,1,residual,2,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,1,0,0,0,1,1,residual,1,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,1,0,0,1,0,1,master,0,Candidate-basis element.
0,1,0,0,1,1,0,reconstructed,0,
0,1,0,0,1,1,1,residual,1,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,1,0,1,1,1,1,residual,2,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,1,1,-1,1,0,1,residual,1,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,1,1,-1,1,1,1,residual,2,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,1,1,0,0,0,1,master,0,Candidate-basis element.
0,1,1,0,0,1,0,reconstructed,0,
0,1,1,0,0,1,1,residual,1,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,1,1,0,1,-1,1,residual,1,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,1,1,0,1,0,1,master,0,Candidate-basis element.
0,1,1,0,1,1,0,reconstructed,0,
0,1,1,0,1,1,1,residual,3,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,1,1,1,-1,1,1,residual,30,A non-candidate residue is present at the first exact probe; reconstruction skipped.
0,1,1,1,0,0,1,master,0,Candidate-basis element.
