nK,nL,nH,n1,n2,n3,n4,direct_impact,new_pivots,hit_residues
-1,0,0,0,0,1,2,22,7,"(0, 0, 0, 0, 0, 1, 2)"
0,-1,0,0,0,1,2,22,8,"(0, 0, 0, 0, 0, 1, 2)"
0,0,0,-1,0,1,2,22,8,"(0, 0, 0, 0, 0, 1, 2)"
-1,0,0,0,1,0,2,17,7,"(0, 0, 0, 0, 1, 0, 2)"
0,0,0,-1,1,0,2,17,7,"(0, 0, 0, 0, 1, 0, 2)"
0,0,0,0,2,0,2,6,4,"(0, 0, 0, 0, 2, 0, 3)"
0,0,0,0,1,0,3,6,8,"(0, 0, 0, 0, 2, 0, 3)"
0,0,0,0,0,2,2,0,4,
0,0,0,0,3,0,3,0,4,
0,0,0,0,0,1,3,0,8,
-1,0,0,0,2,0,1,0,8,
0,-1,0,0,1,0,2,0,8,
0,0,0,-1,2,0,1,0,8,
-1,0,0,0,0,2,1,0,8,
0,0,0,-1,0,2,1,0,8,
0,0,0,0,2,0,3,0,8,
0,0,0,0,2,0,4,0,8,
-1,0,0,0,2,0,3,0,8,
-1,0,0,0,3,0,2,0,8,
0,-1,0,0,2,0,3,0,8,
0,0,0,-1,2,0,3,0,8,
0,0,0,-1,3,0,2,0,8,
