D,z,target_index,basis_index,coeff
6,-4,0,0,41/12
6,-4,0,1,277/60
6,-4,0,2,-11/3
6,-4,0,3,17/12
6,-4,0,5,65/16
6,-4,0,6,-65/24
6,-4,0,7,3/4
6,-4,0,8,-106/5
6,-4,0,9,-61/10
6,-4,0,10,-3
6,-4,0,11,-272/3
6,-4,1,0,17/24
6,-4,1,1,31/24
6,-4,1,2,13/8
6,-4,1,3,5/12
6,-4,1,4,9/4
6,-4,1,5,15/16
6,-4,1,6,1/8
6,-4,1,8,-5
6,-4,1,9,1/2
6,-4,1,10,-5
6,-4,1,11,-80/3
6,-4,2,2,1
6,-4,2,4,-4
6,-4,3,0,-1/3
6,-4,3,1,-1/3
6,-4,3,2,8/3
6,-4,4,0,-1/8
6,-4,4,1,-1/8
6,-4,4,2,5/8
6,-4,4,4,3/2
6,-4,5,0,-1/12
6,-4,5,2,5/3
6,-4,5,5,-7/8
6,-4,5,6,1/3
6,-4,6,0,-1/3
6,-4,6,2,8/3
6,-4,6,5,1/2
6,-4,6,6,4/3
6,-4,7,0,-1/3
6,-4,7,2,4/3
6,-4,7,4,3/2
6,-4,7,5,-5/4
6,-4,7,6,1/6
6,-4,8,0,-5/6
6,-4,8,7,-7/4
6,-4,9,1,-1/5
6,-4,9,6,-1/10
6,-4,9,8,-21/10
6,-4,10,0,-1/8
6,-4,10,1,-1/8
6,-4,10,2,-13/24
6,-4,10,6,1/6
6,-4,10,8,-3/2
6,-4,11,0,10/3
6,-4,11,1,2
6,-4,11,2,8
6,-4,11,3,2/3
6,-4,11,5,29/6
6,-4,11,6,23/5
6,-4,11,7,10/3
6,-4,11,8,-26/5
6,-4,11,9,36/5
6,-4,11,10,-136/3
6,-4,11,11,-128/3
6,-4,12,7,1
6,-4,12,9,-24/5
6,-4,13,0,-1/3
6,-4,13,1,-17/30
6,-4,13,2,2/3
6,-4,13,3,-1/6
6,-4,13,5,-3/8
6,-4,13,6,29/60
6,-4,13,8,13/5
6,-4,13,9,1
6,-4,13,10,-2
6,-4,13,11,32/3
6,-4,14,0,-5/36
6,-4,14,1,-17/60
6,-4,14,2,-5/12
6,-4,14,3,-1/12
6,-4,14,4,-1/2
6,-4,14,5,-1/12
6,-4,14,6,1/30
6,-4,14,8,4/5
6,-4,14,10,2/3
6,-4,14,11,16/3
6,-4,15,0,1/24
6,-4,15,1,-7/24
6,-4,15,2,-1/24
6,-4,15,4,3/2
6,-4,16,2,1
6,-4,17,4,1
6,-4,18,0,-2/3
6,-4,19,1,-2/3
6,-4,20,0,-1/8
6,-4,20,1,-1/8
6,-4,20,2,-3/8
6,-4,21,2,-2/3
6,-4,22,2,-1/4
6,-4,22,4,-3/8
6,-4,23,0,-1/6
6,-4,23,2,-2
6,-4,23,5,-7/4
6,-4,23,6,-2
6,-4,24,0,-2/3
6,-4,25,5,1
6,-4,27,2,-2/3
6,-4,27,6,-1/3
6,-4,28,0,1/12
6,-4,28,2,-1/2
6,-4,28,4,-3/8
6,-4,28,5,5/16
6,-4,28,6,-1/8
6,-4,29,1,-1/5
6,-4,29,5,3/4
6,-4,29,6,-11/10
6,-4,29,7,-3/4
6,-4,29,8,69/10
6,-4,30,0,13/36
6,-4,30,1,1/4
6,-4,30,2,3/4
6,-4,30,5,5/4
6,-4,30,6,-1/2
6,-4,30,7,-5/12
6,-4,30,8,9/2
6,-4,31,7,1
6,-4,33,0,4/9
6,-4,33,7,5/6
6,-4,34,1,-4/15
6,-4,34,5,1
6,-4,34,6,6/5
6,-4,34,8,6/5
6,-4,35,8,1
6,-4,37,0,1/12
6,-4,37,1,1/20
6,-4,37,2,1/4
6,-4,37,5,1/8
6,-4,37,6,-1/20
6,-4,37,8,4/5
6,-4,38,0,-10/9
6,-4,38,1,-17/15
6,-4,38,3,-1/3
6,-4,38,5,-3/4
6,-4,38,6,3/10
6,-4,38,7,-5/6
6,-4,38,8,21/5
6,-4,38,9,1
6,-4,38,10,28/3
6,-4,38,11,64/3
6,-4,39,9,1
6,-3,0,0,13/4
6,-3,0,1,61/15
6,-3,0,2,-43/12
6,-3,0,3,4/3
6,-3,0,5,39/8
6,-3,0,6,-251/120
6,-3,0,7,3/4
6,-3,0,8,-167/10
6,-3,0,9,-59/10
6,-3,0,10,7/6
6,-3,0,11,-56
6,-3,1,0,6/7
6,-3,1,1,51/35
6,-3,1,2,11/7
6,-3,1,3,1/2
6,-3,1,4,9/4
6,-3,1,5,3/2
6,-3,1,6,1/5
6,-3,1,8,-23/5
6,-3,1,9,1/2
6,-3,1,10,-14/3
6,-3,1,11,-21
6,-3,2,2,1
6,-3,2,4,-7/2
6,-3,3,0,-1/3
6,-3,3,1,-1/3
6,-3,3,2,7/3
6,-3,4,0,-1/7
6,-3,4,1,-1/7
6,-3,4,2,4/7
6,-3,4,4,3/2
6,-3,5,0,-1/12
6,-3,5,2,19/12
6,-3,5,5,-7/8
6,-3,5,6,7/24
6,-3,6,0,-1/3
6,-3,6,2,7/3
6,-3,6,5,1/2
6,-3,6,6,7/6
6,-3,7,0,-4/9
6,-3,7,2,4/3
6,-3,7,4,3/2
6,-3,7,5,-5/3
6,-3,8,0,-5/6
6,-3,8,7,-7/4
6,-3,9,1,-1/5
6,-3,9,8,-21/10
6,-3,10,0,-1/7
6,-3,10,1,-1/7
6,-3,10,2,-25/42
6,-3,10,6,1/6
6,-3,10,8,-3/2
6,-3,11,0,11/3
6,-3,11,1,12/5
6,-3,11,2,6
6,-3,11,3,5/6
6,-3,11,5,35/6
6,-3,11,6,23/6
6,-3,11,7,10/3
6,-3,11,8,-29/5
6,-3,11,9,24/5
6,-3,11,10,-35
6,-3,11,11,-35
6,-3,12,7,1
6,-3,12,9,-21/5
6,-3,13,0,-1/3
6,-3,13,1,-8/15
6,-3,13,2,2/3
6,-3,13,3,-1/6
6,-3,13,5,-1/2
6,-3,13,6,13/30
6,-3,13,8,11/5
6,-3,13,9,1
6,-3,13,10,-7/3
6,-3,13,11,7
6,-3,14,0,-34/189
6,-3,14,1,-16/45
6,-3,14,2,-10/21
6,-3,14,3,-1/9
6,-3,14,4,-4/7
6,-3,14,5,-11/63
6,-3,14,6,11/315
6,-3,14,8,4/5
6,-3,14,10,2/3
6,-3,14,11,14/3
6,-3,15,0,5/63
6,-3,15,1,-23/63
6,-3,15,2,-2/21
6,-3,15,4,3/2
6,-3,16,2,1
6,-3,17,4,1
6,-3,18,0,-2/3
6,-3,19,1,-2/3
6,-3,20,0,-1/7
6,-3,20,1,-1/7
6,-3,20,2,-3/7
6,-3,21,2,-2/3
6,-3,22,2,-2/7
6,-3,22,4,-3/7
6,-3,23,0,-1/6
6,-3,23,2,-3/2
6,-3,23,5,-7/4
6,-3,23,6,-7/4
6,-3,24,0,-2/3
6,-3,25,5,1
6,-3,27,2,-2/3
6,-3,27,6,-1/3
6,-3,28,0,8/63
6,-3,28,2,-4/7
6,-3,28,4,-3/7
6,-3,28,5,10/21
6,-3,28,6,-2/21
6,-3,29,1,-1/5
6,-3,29,5,3/4
6,-3,29,6,-3/4
6,-3,29,7,-3/4
6,-3,29,8,27/5
6,-3,30,0,41/126
6,-3,30,1,3/14
6,-3,30,2,9/14
6,-3,30,5,5/4
6,-3,30,6,-1/4
6,-3,30,7,-5/12
6,-3,30,8,7/2
6,-3,31,7,1
6,-3,33,0,4/9
6,-3,33,7,5/6
6,-3,34,1,-4/15
6,-3,34,5,1
6,-3,34,6,1
6,-3,34,8,6/5
6,-3,35,8,1
6,-3,37,0,2/21
6,-3,37,1,2/35
6,-3,37,2,2/7
6,-3,37,5,1/7
6,-3,37,6,-1/35
6,-3,37,8,4/5
6,-3,38,0,-10/9
6,-3,38,1,-16/15
6,-3,38,3,-1/3
6,-3,38,5,-1
6,-3,38,6,1/5
6,-3,38,7,-5/6
6,-3,38,8,17/5
6,-3,38,9,1
6,-3,38,10,7
6,-3,38,11,14
6,-3,39,9,1
6,-2,0,0,37/12
6,-2,0,1,52/15
6,-2,0,2,-7/2
6,-2,0,3,5/4
6,-2,0,5,47/8
6,-2,0,6,-23/20
6,-2,0,7,3/4
6,-2,0,8,-63/5
6,-2,0,9,-57/10
6,-2,0,10,5
6,-2,0,11,-30
6,-2,1,0,7/6
6,-2,1,1,161/90
6,-2,1,2,3/2
6,-2,1,3,2/3
6,-2,1,4,9/4
6,-2,1,5,8/3
6,-2,1,6,1/2
6,-2,1,8,-21/5
6,-2,1,9,1/2
6,-2,1,10,-13/3
6,-2,1,11,-16
6,-2,2,2,1
6,-2,2,4,-3
6,-2,3,0,-1/3
6,-2,3,1,-1/3
6,-2,3,2,2
6,-2,4,0,-1/6
6,-2,4,1,-1/6
6,-2,4,2,1/2
6,-2,4,4,3/2
6,-2,5,0,-1/12
6,-2,5,2,3/2
6,-2,5,5,-7/8
6,-2,5,6,1/4
6,-2,6,0,-1/3
6,-2,6,2,2
6,-2,6,5,1/2
6,-2,6,6,1
6,-2,7,0,-2/3
6,-2,7,2,4/3
6,-2,7,4,3/2
6,-2,7,5,-5/2
6,-2,7,6,-1/3
6,-2,8,0,-5/6
6,-2,8,7,-7/4
6,-2,9,1,-1/5
6,-2,9,6,1/10
6,-2,9,8,-21/10
6,-2,10,0,-1/6
6,-2,10,1,-1/6
6,-2,10,2,-2/3
6,-2,10,6,1/6
6,-2,10,8,-3/2
6,-2,11,0,4
6,-2,11,1,8/3
6,-2,11,2,4
6,-2,11,3,1
6,-2,11,5,22/3
6,-2,11,6,52/15
6,-2,11,7,10/3
6,-2,11,8,-28/5
6,-2,11,9,12/5
6,-2,11,10,-24
6,-2,11,11,-24
6,-2,12,7,1
6,-2,12,9,-18/5
6,-2,13,0,-1/3
6,-2,13,1,-22/45
6,-2,13,2,2/3
6,-2,13,3,-1/6
6,-2,13,5,-2/3
6,-2,13,6,1/3
6,-2,13,8,9/5
6,-2,13,9,1
6,-2,13,10,-8/3
6,-2,13,11,4
6,-2,14,0,-7/27
6,-2,14,1,-22/45
6,-2,14,2,-5/9
6,-2,14,3,-1/6
6,-2,14,4,-2/3
6,-2,14,5,-7/18
6,-2,14,8,4/5
6,-2,14,10,2/3
6,-2,14,11,4
6,-2,15,0,1/6
6,-2,15,1,-1/2
6,-2,15,2,-1/6
6,-2,15,4,3/2
6,-2,16,2,1
6,-2,17,4,1
6,-2,18,0,-2/3
6,-2,19,1,-2/3
6,-2,20,0,-1/6
6,-2,20,1,-1/6
6,-2,20,2,-1/2
6,-2,21,2,-2/3
6,-2,22,2,-1/3
6,-2,22,4,-1/2
6,-2,23,0,-1/6
6,-2,23,2,-1
6,-2,23,5,-7/4
6,-2,23,6,-3/2
6,-2,24,0,-2/3
6,-2,25,5,1
6,-2,27,2,-2/3
6,-2,27,6,-1/3
6,-2,28,0,2/9
