target_index,target,basis_index,basis,coefficient,pdeg,qdeg,train,holdout
2,"(-1, 0, 0, 1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",1,0,0,29,6
2,"(-1, 0, 0, 1, 1, 1, 1)",4,"(0, 0, 0, 1, 1, 1, 1)",(z - 4)/2,1,0,29,6
3,"(-1, 0, 1, 1, 0, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",1680/(D**4 - 38*D**3 + 559*D**2 - 3882*D + 5040),0,4,29,6
3,"(-1, 0, 1, 1, 0, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",1680/(D**4 - 38*D**3 + 559*D**2 - 3882*D + 5040),0,4,29,6
3,"(-1, 0, 1, 1, 0, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",1680*(z - 4)/(D**4 - 38*D**3 + 559*D**2 - 3882*D + 5040),1,4,29,6
4,"(-1, 0, 1, 1, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",(D - 2)/(2*(D - 4)*(z - 4)),1,2,29,6
4,"(-1, 0, 1, 1, 1, 1, 1)",1,"(0, 0, 0, 0, 1, 0, 1)",(D - 2)/(2*(D - 4)*(z - 4)),1,2,29,6
4,"(-1, 0, 1, 1, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",(D*z - 2*z - 4)/(2*(D - 4)*(z - 4)),2,2,29,6
4,"(-1, 0, 1, 1, 1, 1, 1)",4,"(0, 0, 0, 1, 1, 1, 1)",-2520/((D - 16)*(D**3 - 21*D**2 + 188*D - 420)),0,4,29,6
5,"(-1, 1, 0, 0, 1, 1, 1)",0,"(0, 0, 0, 0, 0, 1, 1)",-1/(4*(D - 3)),0,1,29,6
5,"(-1, 1, 0, 0, 1, 1, 1)",2,"(0, 0, 0, 0, 1, 1, 1)",-(-4*D + z + 8)/(4*(D - 3)),1,1,29,6
5,"(-1, 1, 0, 0, 1, 1, 1)",5,"(0, 1, 0, 0, 1, 0, 1)",-135135/(2*(8*D**4 - 300*D**3 + 4330*D**2 - 29175*D + 150822)),0,4,29,6
