kind,index,powers
target,0,"(-2, 1, 1, 1, 0, 1, 1)"
target,1,"(-2, 1, 1, 1, 1, 1, 1)"
target,2,"(-1, 0, 0, 1, 1, 1, 1)"
target,3,"(-1, 0, 1, 1, 0, 1, 1)"
target,4,"(-1, 0, 1, 1, 1, 1, 1)"
target,5,"(-1, 1, 0, 0, 1, 1, 1)"
target,6,"(-1, 1, 0, 1, 0, 1, 1)"
target,7,"(-1, 1, 0, 1, 1, 1, 1)"
target,8,"(-1, 1, 1, 0, 0, 1, 1)"
target,9,"(-1, 1, 1, 0, 1, 0, 1)"
target,10,"(-1, 1, 1, 0, 1, 1, 1)"
target,11,"(-1, 1, 1, 1, -1, 1, 1)"
target,12,"(-1, 1, 1, 1, 0, 0, 1)"
target,13,"(-1, 1, 1, 1, 0, 1, 1)"
target,14,"(-1, 1, 1, 1, 1, 1, 1)"
target,15,"(0, -1, 1, 1, 1, 1, 1)"
target,16,"(0, 0, 0, 0, 1, 1, 1)"
target,17,"(0, 0, 0, 1, 1, 1, 1)"
target,18,"(0, 0, 1, 0, 0, 1, 1)"
target,19,"(0, 0, 1, 0, 1, 0, 1)"
target,20,"(0, 0, 1, 0, 1, 1, 1)"
target,21,"(0, 0, 1, 1, 0, 1, 1)"
target,22,"(0, 0, 1, 1, 1, 1, 1)"
target,23,"(0, 1, 0, -1, 1, 1, 1)"
target,24,"(0, 1, 0, 0, 0, 1, 1)"
target,25,"(0, 1, 0, 0, 1, 0, 1)"
target,26,"(0, 1, 0, 0, 1, 1, 0)"
target,27,"(0, 1, 0, 0, 1, 1, 1)"
target,28,"(0, 1, 0, 1, 1, 1, 1)"
target,29,"(0, 1, 1, -1, 1, 0, 1)"
target,30,"(0, 1, 1, -1, 1, 1, 1)"
target,31,"(0, 1, 1, 0, 0, 0, 1)"
target,32,"(0, 1, 1, 0, 0, 1, 0)"
target,33,"(0, 1, 1, 0, 0, 1, 1)"
target,34,"(0, 1, 1, 0, 1, -1, 1)"
target,35,"(0, 1, 1, 0, 1, 0, 1)"
target,36,"(0, 1, 1, 0, 1, 1, 0)"
target,37,"(0, 1, 1, 0, 1, 1, 1)"
target,38,"(0, 1, 1, 1, -1, 1, 1)"
target,39,"(0, 1, 1, 1, 0, 0, 1)"
basis,0,"(0, 0, 0, 0, 0, 1, 1)"
basis,1,"(0, 0, 0, 0, 1, 0, 1)"
basis,2,"(0, 0, 0, 0, 1, 1, 1)"
basis,3,"(0, 0, 0, 0, 2, 0, 3)"
basis,4,"(0, 0, 0, 1, 1, 1, 1)"
basis,5,"(0, 1, 0, 0, 1, 0, 1)"
basis,6,"(0, 1, 0, 0, 1, 0, 2)"
basis,7,"(0, 1, 1, 0, 0, 0, 1)"
basis,8,"(0, 1, 1, 0, 1, 0, 1)"
basis,9,"(0, 1, 1, 1, 0, 0, 1)"
basis,10,"(0, 1, 1, 1, 0, 1, 1)"
basis,11,"(0, 1, 1, 1, 1, 0, 2)"
